ID,HBlank,H135.Us,H149.C,H128.Us,HMs.Va,H67.LVL,H127.Va,HMs.LVL,H123Va,H135.LVL,H67.Va,H67.Ve,H123Ve,H86.LVL,H123Us,H62.Us,H67.C,H110.LVL,H66.Ve,H135.C,H20.Ve,H86.Ve,H86.C,H62.C,H86.Va,H110.C,H99.Ve,H128.Ve,HJHB.Ve,H66.Us,H128.C,HJHB.C,H20.C,H99.C,H149.Ve,H123C,HFz.C,H66.C,H127.Ve,H99.Us,H62.Ve,H110.Ve,H99.Va,HMs.Ve,HMs.C,H127.C,HFz.Ve,HFz.Va,H135.Ve,H132.Ve,HMs.Us,H26.Ve,H62.Va,H66.Va,H26.C,H20.Va,H20.LVL,HJHB.LVL,H135.Va,H26.Va,HFz.LVL,H149.Us,H66.LVL,H149.LVL,H149.Va,H62.LVL,H123LVL,H128.LVL,H99.LVL,HJHB.Us,H128.Va,H132.C,H127.Us,H20.Us,HFz.Us,H132.Va,H86.Us,H110.Us,H132.LVL,H110.Va,H127.LVL,H67.Us,H132.Us,HJHB.Va,H26.Us,H26.LVL
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Sporichthyaceae,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium,13,0,0,7,28,0,8,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,10,0,2,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Mobiluncus,0,0,7051,4,91,0,1194,14,25,0,0,482,68,0,3,19,13636,0,609,824,382,406,31629,20674,29,9805,99,4308,0,1,32185,17,6212,2376,19,13527,3250,4626,3117,9,12,1,26,2468,51313,13311,0,1,44,0,62,0,7,11,0,8,0,20,0,0,7,0,0,0,0,0,0,1,8,8,56,222,0,0,1,0,0,0,0,39,17,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium,1,0,925,0,0,0,491,0,0,0,0,0,0,0,0,0,144,0,197,5,37,91,272,519,14,8,583,6,0,3,1059,54,119,1352,0,190,402,2809,12,0,67,0,0,26,1345,2146,0,0,9,0,1,0,0,2,0,0,14,1,0,0,0,0,6,0,0,1,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Variovorax|paradoxus,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Devosia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Peptoniphilus,1,0,13490,44,64,35,967,8,59,0,0,1455,147,0,15,1,23007,2,1010,2602,4388,193,18600,31954,189,5539,652,309,0,35,8765,13813,7542,21863,2,19301,9939,20098,1737,3,16,2,24,3541,27201,9027,2,11,127,4,24,0,5,52,1,205,8,25,0,0,5,0,0,2,3,0,4,0,1,4,0,152,7,22,2,3,1,0,0,2,4,0,0,0,0,0
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae|Planctomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Dehalobacteriaceae|Dehalobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,30,7,0,0,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae,0,0,630,0,0,109,32,0,164,0,0,222,267,7,0,0,54,0,1586,0,303,1855,2458,130,367,118,1070,697,0,0,30,120,49,197,290,391,1,9,1,0,353,3,28,0,7,14,0,20,179,4,0,0,2,15,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
